id,role_type,level,years_experience,skills,resume_text,primary_role
resume_0000,data,Junior,2,R; Excel; Power BI; Hadoop; Tableau; Pandas; Docker,"Professional Role: Junior Data Analyst
        Years of Experience: 2
        
        Skills: R, Excel, Power BI, Hadoop, Tableau, Pandas, Docker
        
        Work Experience:
        1 years as Senior Data Analyst at LargeScale
        
        Education: BS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Data Analyst
resume_0001,frontend,Mid,4,REST APIs; TypeScript; Responsive Design; JavaScript; Material-UI; Pandas; Docker,"Professional Role: Mid Frontend Engineer
        Years of Experience: 4
        
        Skills: REST APIs, TypeScript, Responsive Design, JavaScript, Material-UI, Pandas, Docker
        
        Work Experience:
        2 years as Lead Frontend Engineer at LargeScale
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Frontend Engineer
resume_0002,frontend,Senior,13,Angular; Responsive Design; JavaScript; Material-UI; HTML; GraphQL; Vue.js; Docker; Agile,"Professional Role: Senior Frontend Engineer
        Years of Experience: 13
        
        Skills: Angular, Responsive Design, JavaScript, Material-UI, HTML, GraphQL, Vue.js, Docker, Agile
        
        Work Experience:
        4 years as Lead Frontend Engineer at Fortune500
1 years as Frontend Engineer at BigTech
5 years as Frontend Engineer at NextGen
1 years as Frontend Engineer at Fortune500
        
        Education: BS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Frontend Engineer
resume_0003,frontend,Senior,13,Angular; TypeScript; Responsive Design; JavaScript; CSS; Material-UI; HTML; Jest; TypeScript,"Professional Role: Senior Frontend Engineer
        Years of Experience: 13
        
        Skills: Angular, TypeScript, Responsive Design, JavaScript, CSS, Material-UI, HTML, Jest, TypeScript
        
        Work Experience:
        3 years as Principal Frontend Engineer at InnovateCo
1 years as Frontend Engineer at EnterpriseGlobal
5 years as Frontend Engineer at EnterpriseGlobal
2 years as Frontend Engineer at RisingStars
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Frontend Engineer
resume_0004,data,Senior,9,Pandas; Statistics; SQL; Power BI; Hadoop; ETL; JavaScript; TensorFlow,"Professional Role: Senior Data Analyst
        Years of Experience: 9
        
        Skills: Pandas, Statistics, SQL, Power BI, Hadoop, ETL, JavaScript, TensorFlow
        
        Work Experience:
        2 years as Senior Data Analyst at BigTech
4 years as Data Analyst at RisingStars
1 years as Data Analyst at GrowthCo
        
        Education: MS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Data Analyst
resume_0005,devops,Senior,9,Infrastructure; Linux; GitLab; Monitoring; Jenkins; Kubernetes; Ansible; Kubernetes; Python,"Professional Role: Senior DevOps Engineer
        Years of Experience: 9
        
        Skills: Infrastructure, Linux, GitLab, Monitoring, Jenkins, Kubernetes, Ansible, Kubernetes, Python
        
        Work Experience:
        1 years as Principal DevOps Engineer at TechBootstrap
4 years as DevOps Engineer at Fortune500
4 years as DevOps Engineer at NextGen
        
        Education: Bootcamp Graduate - Full Stack Development
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",DevOps Engineer
resume_0006,fullstack,Senior,9,Git; Node.js; PostgreSQL; JavaScript; TypeScript; PostgreSQL; MongoDB,"Professional Role: Senior Full Stack Developer
        Years of Experience: 9
        
        Skills: Git, Node.js, PostgreSQL, JavaScript, TypeScript, PostgreSQL, MongoDB
        
        Work Experience:
        4 years as Principal Full Stack Developer at InnovateCo
2 years as Full Stack Developer at Fortune500
3 years as Full Stack Developer at NextGen
        
        Education: Self-taught with online certifications
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Full Stack Developer
resume_0007,frontend,Mid,6,REST APIs; Responsive Design; React; HTML; Redux; GraphQL; Kubernetes; JavaScript,"Professional Role: Mid Frontend Engineer
        Years of Experience: 6
        
        Skills: REST APIs, Responsive Design, React, HTML, Redux, GraphQL, Kubernetes, JavaScript
        
        Work Experience:
        2 years as Principal Frontend Engineer at TechBootstrap
1 years as Frontend Engineer at RocketLabs
        
        Education: BS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Frontend Engineer
resume_0008,qa,Mid,3,Agile; Test Planning; API Testing; Jest; SQL; Python; JIRA; Azure,"Professional Role: Mid QA Engineer
        Years of Experience: 3
        
        Skills: Agile, Test Planning, API Testing, Jest, SQL, Python, JIRA, Azure
        
        Work Experience:
        3 years as Principal QA Engineer at EnterpriseGlobal
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Google Cloud Certified",QA Engineer
resume_0009,data,Senior,11,Data Warehousing; Spark; R; Python; Power BI; Pandas; SQL; REST APIs; API Design,"Professional Role: Senior Data Analyst
        Years of Experience: 11
        
        Skills: Data Warehousing, Spark, R, Python, Power BI, Pandas, SQL, REST APIs, API Design
        
        Work Experience:
        2 years as Senior Data Analyst at EnterpriseGlobal
1 years as Data Analyst at Fortune500
2 years as Data Analyst at StartupXYZ
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Data Analyst
resume_0010,devops,Mid,4,Monitoring; Terraform; Azure; Ansible; AWS; Jenkins; CI/CD; Azure; Jupyter,"Professional Role: Mid DevOps Engineer
        Years of Experience: 4
        
        Skills: Monitoring, Terraform, Azure, Ansible, AWS, Jenkins, CI/CD, Azure, Jupyter
        
        Work Experience:
        4 years as Senior DevOps Engineer at StartupXYZ
        
        Education: Bootcamp Graduate - Full Stack Development
        
        Certifications: AWS Certified Solutions Architect, Google Cloud Certified",DevOps Engineer
resume_0011,ml,Mid,7,Computer Vision; Python; TensorFlow; NLP; SQL; NumPy; PyTorch; Statistics; TypeScript; API Testing,"Professional Role: Mid Machine Learning Engineer
        Years of Experience: 7
        
        Skills: Computer Vision, Python, TensorFlow, NLP, SQL, NumPy, PyTorch, Statistics, TypeScript, API Testing
        
        Work Experience:
        4 years as Senior Machine Learning Engineer at RocketLabs
2 years as Machine Learning Engineer at GrowthCo
        
        Education: BS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Google Cloud Certified",Machine Learning Engineer
resume_0012,qa,Senior,14,Testing; Agile; API Testing; Python; Selenium; Jest; JavaScript,"Professional Role: Senior QA Engineer
        Years of Experience: 14
        
        Skills: Testing, Agile, API Testing, Python, Selenium, Jest, JavaScript
        
        Work Experience:
        4 years as Lead QA Engineer at GrowthCo
1 years as QA Engineer at RocketLabs
1 years as QA Engineer at ExpandNow
4 years as QA Engineer at RisingStars
        
        Education: Self-taught with online certifications
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",QA Engineer
resume_0013,data,Senior,8,Power BI; Excel; R; SQL; Spark; Statistics; React; Microservices,"Professional Role: Senior Data Analyst
        Years of Experience: 8
        
        Skills: Power BI, Excel, R, SQL, Spark, Statistics, React, Microservices
        
        Work Experience:
        4 years as Senior Data Analyst at Corporate Inc
1 years as Data Analyst at Fortune500
        
        Education: MS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Data Analyst
resume_0014,devops,Junior,2,GitLab; Kubernetes; Linux; Azure; Docker; CI/CD; AWS; Deep Learning,"Professional Role: Junior DevOps Engineer
        Years of Experience: 2
        
        Skills: GitLab, Kubernetes, Linux, Azure, Docker, CI/CD, AWS, Deep Learning
        
        Work Experience:
        2 years as Principal DevOps Engineer at GrowthCo
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",DevOps Engineer
resume_0015,fullstack,Mid,7,Git; Agile; JavaScript; Docker; TypeScript; AWS; MongoDB; Load Testing,"Professional Role: Mid Full Stack Developer
        Years of Experience: 7
        
        Skills: Git, Agile, JavaScript, Docker, TypeScript, AWS, MongoDB, Load Testing
        
        Work Experience:
        5 years as Principal Full Stack Developer at StartupXYZ
1 years as Full Stack Developer at BigTech
        
        Education: MS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Google Cloud Certified",Full Stack Developer
resume_0016,backend,Senior,15,Rust; Go; Node.js; MongoDB; API Design; Docker; Ansible; SQL,"Professional Role: Senior Backend Engineer
        Years of Experience: 15
        
        Skills: Rust, Go, Node.js, MongoDB, API Design, Docker, Ansible, SQL
        
        Work Experience:
        5 years as Senior Backend Engineer at ScaleUp Tech
3 years as Backend Engineer at StartupXYZ
5 years as Backend Engineer at InnovateCo
2 years as Backend Engineer at EnterpriseGlobal
        
        Education: BS in Engineering
        
        Certifications: AWS Certified Solutions Architect, Kubernetes Certified",Backend Engineer
resume_0017,data,Senior,11,Spark; Data Warehousing; Excel; SQL; Python; Statistics; Power BI; Testing; React,"Professional Role: Senior Data Analyst
        Years of Experience: 11
        
        Skills: Spark, Data Warehousing, Excel, SQL, Python, Statistics, Power BI, Testing, React
        
        Work Experience:
        3 years as Senior Data Analyst at InnovateCo
4 years as Data Analyst at LargeScale
1 years as Data Analyst at StartupXYZ
        
        Education: MS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Data Analyst
resume_0018,backend,Senior,14,Microservices; API Design; Node.js; PostgreSQL; AWS; Python; Docker; TypeScript; C#,"Professional Role: Senior Backend Engineer
        Years of Experience: 14
        
        Skills: Microservices, API Design, Node.js, PostgreSQL, AWS, Python, Docker, TypeScript, C#
        
        Work Experience:
        2 years as Lead Backend Engineer at Fortune500
5 years as Backend Engineer at NextGen
2 years as Backend Engineer at TechBootstrap
2 years as Backend Engineer at ScaleUp Tech
        
        Education: MS in Computer Science
        
        Certifications: AWS Certified Solutions Architect, Azure Certified",Backend Engineer
