resume_id,role_target,level,years_experience,skills,skills_count,companies_worked,resume_text,source,date_generated
RE3DBEAC2,Software Engineer,Junior,2.0,"Python, Go, Figma, Slack",4,"Adobe, Salesforce, Oracle, Uber","Software Engineer with 2 years of experience
        
        Skills: Python, Go, Figma, Slack
        
        Experience:
        - Junior Software Engineer at Adobe (2 years)
        - Software Engineer at Salesforce (2 years)
        - Junior Software Engineer at Oracle (2 years)
        
        
        Proficiencies in: Python, Go, Figma, Slack
        
        Achievements:
        - Led projects using Slack
        - Improved system performance by 23%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1392 users",synthetic,2025-12-07
R786DC7F1,Software Engineer,Junior,2.0,"Kotlin, Git, C++, JIRA",4,"Salesforce, Adobe, Amazon, GitHub","Software Engineer with 2 years of experience
        
        Skills: Kotlin, Git, C++, JIRA
        
        Experience:
        - Junior Software Engineer at Salesforce (4 years)
        - Software Engineer at Adobe (3 years)
        - Junior Software Engineer at Amazon (1 years)
        
        
        Proficiencies in: Kotlin, Git, C++, JIRA
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 41%
        - Mentored 5 junior developers
        - Deployed solutions impacting 355 users",synthetic,2025-12-07
R73128D73,Software Engineer,Junior,3.0,"Kotlin, Go, VS Code, Slack",4,"Google, GitHub, Spotify","Software Engineer with 3 years of experience
        
        Skills: Kotlin, Go, VS Code, Slack
        
        Experience:
        - Junior Software Engineer at Google (2 years)
        - Software Engineer at GitHub (1 years)
        - Junior Software Engineer at Spotify (1 years)
        
        
        Proficiencies in: Kotlin, Go, VS Code, Slack
        
        Achievements:
        - Led projects using Go
        - Improved system performance by 14%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6649 users",synthetic,2025-12-07
R0325666B,Software Engineer,Mid-Level,6.0,"Python, Git, Slack, C#",4,"Apple, Google, Salesforce","Software Engineer with 6 years of experience
        
        Skills: Python, Git, Slack, C#
        
        Experience:
        - Mid-Level Software Engineer at Apple (4 years)
        - Software Engineer at Google (3 years)
        - Junior Software Engineer at Salesforce (1 years)
        
        
        Proficiencies in: Python, Git, Slack, C#
        
        Achievements:
        - Led projects using C#
        - Improved system performance by 32%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1245 users",synthetic,2025-12-07
R015D1C45,Software Engineer,Mid-Level,3.0,"Kotlin, Python, IntelliJ, Git",4,"Google, Elastic","Software Engineer with 3 years of experience
        
        Skills: Kotlin, Python, IntelliJ, Git
        
        Experience:
        - Mid-Level Software Engineer at Google (3 years)
        - Software Engineer at Elastic (2 years)

        
        
        Proficiencies in: Kotlin, Python, IntelliJ, Git
        
        Achievements:
        - Led projects using Python
        - Improved system performance by 24%
        - Mentored 4 junior developers
        - Deployed solutions impacting 9135 users",synthetic,2025-12-07
RA471706F,Software Engineer,Mid-Level,5.0,"JIRA, Go, Ruby, Slack",4,"Amazon, Apple","Software Engineer with 5 years of experience
        
        Skills: JIRA, Go, Ruby, Slack
        
        Experience:
        - Mid-Level Software Engineer at Amazon (1 years)
        - Software Engineer at Apple (1 years)

        
        
        Proficiencies in: JIRA, Go, Ruby, Slack
        
        Achievements:
        - Led projects using Ruby
        - Improved system performance by 33%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6566 users",synthetic,2025-12-07
R0F4C3376,Software Engineer,Senior,9.0,"GitHub, Slack, C++, PHP",4,"GitHub, Netflix, GitLab","Software Engineer with 9 years of experience
        
        Skills: GitHub, Slack, C++, PHP
        
        Experience:
        - Senior Software Engineer at GitHub (3 years)
        - Software Engineer at Netflix (2 years)
        - Junior Software Engineer at GitLab (1 years)
        
        
        Proficiencies in: GitHub, Slack, C++, PHP
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 22%
        - Mentored 2 junior developers
        - Deployed solutions impacting 5297 users",synthetic,2025-12-07
RF5652CEA,Software Engineer,Senior,8.0,"IntelliJ, GitHub, C#, PHP",4,"Elastic, Uber, Adobe, HashiCorp","Software Engineer with 8 years of experience
        
        Skills: IntelliJ, GitHub, C#, PHP
        
        Experience:
        - Senior Software Engineer at Elastic (4 years)
        - Software Engineer at Uber (2 years)
        - Junior Software Engineer at Adobe (1 years)
        
        
        Proficiencies in: IntelliJ, GitHub, C#, PHP
        
        Achievements:
        - Led projects using C#
        - Improved system performance by 24%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6244 users",synthetic,2025-12-07
R116B8FC2,Software Engineer,Senior,7.0,"Kotlin, GitHub, C#, VS Code",4,"Stripe, Meta","Software Engineer with 7 years of experience
        
        Skills: Kotlin, GitHub, C#, VS Code
        
        Experience:
        - Senior Software Engineer at Stripe (3 years)
        - Software Engineer at Meta (1 years)

        
        
        Proficiencies in: Kotlin, GitHub, C#, VS Code
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 30%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1765 users",synthetic,2025-12-07
RA6547F4B,Software Engineer,Lead,15.0,"JIRA, IntelliJ, Java, Rust",4,"DataDog, GitLab, IBM, Uber","Software Engineer with 15 years of experience
        
        Skills: JIRA, IntelliJ, Java, Rust
        
        Experience:
        - Lead Software Engineer at DataDog (2 years)
        - Software Engineer at GitLab (2 years)
        - Junior Software Engineer at IBM (2 years)
        
        
        Proficiencies in: JIRA, IntelliJ, Java, Rust
        
        Achievements:
        - Led projects using IntelliJ
        - Improved system performance by 22%
        - Mentored 3 junior developers
        - Deployed solutions impacting 5938 users",synthetic,2025-12-07
