id,title,skill,skill_category,provider,level,hours,rating,price,description,url
course_0000,Intermediate Tableau Course - Codecademy,Tableau,data,Codecademy,Intermediate,13,4.6,199,"Learn Tableau with this comprehensive intermediate course on Codecademy.
        
        This course covers:
        - Tableau fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 13 hours
        Level: Intermediate
        Rating: 4.6/5.0
        Price: $199",https://codecademy.com/courses/tableau
course_0001,Beginner Go Course - Udemy,Go,backend,Udemy,Beginner,30,4.8,99,"Learn Go with this comprehensive beginner course on Udemy.
        
        This course covers:
        - Go fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 30 hours
        Level: Beginner
        Rating: 4.8/5.0
        Price: $99",https://udemy.com/courses/go
course_0002,Expert PostgreSQL Course - LinkedIn Learning,PostgreSQL,fullstack,LinkedIn Learning,Expert,37,3.6,49,"Learn PostgreSQL with this comprehensive expert course on LinkedIn Learning.
        
        This course covers:
        - PostgreSQL fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 37 hours
        Level: Expert
        Rating: 3.6/5.0
        Price: $49",https://linkedinlearning.com/courses/postgresql
course_0003,Beginner TypeScript Course - Codecademy,TypeScript,fullstack,Codecademy,Beginner,88,4.0,0,"Learn TypeScript with this comprehensive beginner course on Codecademy.
        
        This course covers:
        - TypeScript fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 88 hours
        Level: Beginner
        Rating: 4.0/5.0
        Price: $0",https://codecademy.com/courses/typescript
course_0004,Expert Automation Course - LinkedIn Learning,Automation,qa,LinkedIn Learning,Expert,100,4.2,199,"Learn Automation with this comprehensive expert course on LinkedIn Learning.
        
        This course covers:
        - Automation fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 100 hours
        Level: Expert
        Rating: 4.2/5.0
        Price: $199",https://linkedinlearning.com/courses/automation
course_0005,Expert MongoDB Course - LinkedIn Learning,MongoDB,fullstack,LinkedIn Learning,Expert,52,4.9,299,"Learn MongoDB with this comprehensive expert course on LinkedIn Learning.
        
        This course covers:
        - MongoDB fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 52 hours
        Level: Expert
        Rating: 4.9/5.0
        Price: $299",https://linkedinlearning.com/courses/mongodb
course_0006,Expert Node.js Course - DataCamp,Node.js,fullstack,DataCamp,Expert,15,4.1,49,"Learn Node.js with this comprehensive expert course on DataCamp.
        
        This course covers:
        - Node.js fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 15 hours
        Level: Expert
        Rating: 4.1/5.0
        Price: $49",https://datacamp.com/courses/node.js
course_0007,Beginner CI/CD Course - edX,CI/CD,devops,edX,Beginner,15,4.0,99,"Learn CI/CD with this comprehensive beginner course on edX.
        
        This course covers:
        - CI/CD fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 15 hours
        Level: Beginner
        Rating: 4.0/5.0
        Price: $99",https://edx.com/courses/ci/cd
course_0008,Expert Docker Course - Pluralsight,Docker,fullstack,Pluralsight,Expert,26,4.5,99,"Learn Docker with this comprehensive expert course on Pluralsight.
        
        This course covers:
        - Docker fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 26 hours
        Level: Expert
        Rating: 4.5/5.0
        Price: $99",https://pluralsight.com/courses/docker
course_0009,Advanced Python Course - DataCamp,Python,ml,DataCamp,Advanced,83,5.0,99,"Learn Python with this comprehensive advanced course on DataCamp.
        
        This course covers:
        - Python fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 83 hours
        Level: Advanced
        Rating: 5.0/5.0
        Price: $99",https://datacamp.com/courses/python
course_0010,Expert SQL Course - Coursera,SQL,data,Coursera,Expert,51,4.3,49,"Learn SQL with this comprehensive expert course on Coursera.
        
        This course covers:
        - SQL fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 51 hours
        Level: Expert
        Rating: 4.3/5.0
        Price: $49",https://coursera.com/courses/sql
course_0011,Expert Node.js Course - Codecademy,Node.js,backend,Codecademy,Expert,9,3.7,49,"Learn Node.js with this comprehensive expert course on Codecademy.
        
        This course covers:
        - Node.js fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 9 hours
        Level: Expert
        Rating: 3.7/5.0
        Price: $49",https://codecademy.com/courses/node.js
course_0012,Advanced Agile Course - edX,Agile,qa,edX,Advanced,54,4.9,0,"Learn Agile with this comprehensive advanced course on edX.
        
        This course covers:
        - Agile fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 54 hours
        Level: Advanced
        Rating: 4.9/5.0
        Price: $0",https://edx.com/courses/agile
course_0013,Expert AWS Course - DataCamp,AWS,devops,DataCamp,Expert,52,4.1,0,"Learn AWS with this comprehensive expert course on DataCamp.
        
        This course covers:
        - AWS fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 52 hours
        Level: Expert
        Rating: 4.1/5.0
        Price: $0",https://datacamp.com/courses/aws
course_0014,Advanced AWS Course - Pluralsight,AWS,devops,Pluralsight,Advanced,55,4.0,99,"Learn AWS with this comprehensive advanced course on Pluralsight.
        
        This course covers:
        - AWS fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 55 hours
        Level: Advanced
        Rating: 4.0/5.0
        Price: $99",https://pluralsight.com/courses/aws
course_0015,Intermediate Angular Course - Coursera,Angular,frontend,Coursera,Intermediate,68,4.3,299,"Learn Angular with this comprehensive intermediate course on Coursera.
        
        This course covers:
        - Angular fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 68 hours
        Level: Intermediate
        Rating: 4.3/5.0
        Price: $299",https://coursera.com/courses/angular
course_0016,Advanced Go Course - Codecademy,Go,backend,Codecademy,Advanced,95,4.2,299,"Learn Go with this comprehensive advanced course on Codecademy.
        
        This course covers:
        - Go fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 95 hours
        Level: Advanced
        Rating: 4.2/5.0
        Price: $299",https://codecademy.com/courses/go
course_0017,Intermediate Agile Course - LinkedIn Learning,Agile,fullstack,LinkedIn Learning,Intermediate,20,3.7,0,"Learn Agile with this comprehensive intermediate course on LinkedIn Learning.
        
        This course covers:
        - Agile fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 20 hours
        Level: Intermediate
        Rating: 3.7/5.0
        Price: $0",https://linkedinlearning.com/courses/agile
course_0018,Expert PyTorch Course - DataCamp,PyTorch,ml,DataCamp,Expert,16,4.7,99,"Learn PyTorch with this comprehensive expert course on DataCamp.
        
        This course covers:
        - PyTorch fundamentals and advanced concepts
        - Best practices and design patterns
        - Real-world project examples
        - Hands-on exercises and assignments
        - Industry-standard tools and workflows
        
        Duration: 16 hours
        Level: Expert
        Rating: 4.7/5.0
        Price: $99",https://datacamp.com/courses/pytorch
