required_skills,candidate_skills,expected_gap
"Linux, Adaptability, Machine Learning, Communication, Cloud Architecture","Critical Thinking, Django, Communication, Machine Learning","Linux, Adaptability, Cloud Architecture"
"MLOps, CI/CD, Sales Forecasting, Kubernetes, HTML","Sales Forecasting, Kubernetes, MLOps, CI/CD, HTML",
"C++, Data Engineering, Creativity, TensorFlow, Kubernetes","Flask, TensorFlow, C++, Data Engineering, Spark","Creativity, Kubernetes"
"CSS, GraphQL, Adaptability, HR Analytics, DevOps","Python, GraphQL, CSS, Presentation Skills, HR Analytics, DevOps, HTML",Adaptability
"Azure, Git, Kubernetes, Collaboration, Marketing Strategy, HR Analytics, Spark, Leadership, Cloud Architecture","AWS, Kubernetes, Collaboration, Leadership, Git, Marketing Strategy, UI/UX Design, Spark, NoSQL, HTML","Azure, HR Analytics, Cloud Architecture"
"Cloud Architecture, Collaboration, Critical Thinking, GCP, Marketing Strategy, Django, AWS, CI/CD, Data Analysis","PyTorch, Linux, GCP, Cloud Architecture, Marketing Strategy, SQL","Collaboration, Critical Thinking, Django, AWS, CI/CD, Data Analysis"
"Deep Learning, GCP, Data Analysis, Linux, CI/CD, Critical Thinking, Sales Forecasting","Linux, GCP, CI/CD, Data Analysis, Critical Thinking","Deep Learning, Sales Forecasting"
"GraphQL, SQL, TensorFlow, Time Management, Django, HTML, Collaboration, Presentation Skills, C++, Marketing Strategy","Time Management, TensorFlow, Django, SQL, GraphQL","HTML, Collaboration, Presentation Skills, C++, Marketing Strategy"
"Cybersecurity, HR Analytics, Time Management, Problem Solving, TensorFlow, Azure, GCP, DevOps, Adaptability","Problem Solving, Data Analysis, HR Analytics, DevOps","Cybersecurity, Time Management, TensorFlow, Azure, GCP, Adaptability"
"AWS, Docker, Cybersecurity, Django, Business Analysis, JavaScript, Linux","Python, Linux, Kubernetes, Cybersecurity, CSS, Business Analysis","AWS, Docker, Django, JavaScript"
"Creativity, Git, Leadership, Marketing Strategy, PyTorch","PyTorch, Leadership, Azure, TensorFlow","Creativity, Git, Marketing Strategy"
"TensorFlow, Spark, NoSQL, Business Analysis, MLOps, Collaboration, Kubernetes, JavaScript","Spark, Kubernetes, TensorFlow","NoSQL, Business Analysis, MLOps, Collaboration, JavaScript"
"MLOps, Marketing Strategy, Spark, HTML, CSS, C++, Machine Learning, UI/UX Design, CI/CD","Marketing Strategy, UI/UX Design, Spark, HTML, Machine Learning","MLOps, CSS, C++, CI/CD"
"Teamwork, PyTorch, AWS, JavaScript, Django","PyTorch, AWS, JavaScript, Teamwork, Adaptability",Django
